Movie ID,Title,Duration,Genres,Language,Rating,Release Year,Resume
1,Schindler's List,195,"[DRAMA, BIOGRAPHY, HISTORY]",English,8.90,1993-01-01,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
2,Never Rarely Sometimes Always,101,[DRAMA],English,7.40,2020-01-01,A pair of teenage girls in rural Pennsylvania travel to New York City to seek out medical help after an unintended pregnancy.
3,The Shawshank Redemption,142,[DRAMA],English,9.30,1994-01-01,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
4,The Dark Knight,152,"[DRAMA, CRIME, ACTION]",English,9.00,2008-01-01,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
5,12 Angry Men,96,"[DRAMA, CRIME]",English,9.00,1957-01-01,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
6,Nomadland,107,[DRAMA],English,7.40,2020-01-01,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad."
7,Kill Bill Volume 1,111,"[DRAMA, CRIME, ACTION]",English,8.10,2003-01-01,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
8,The Godfather,175,"[DRAMA, CRIME]",English,9.20,1972-01-01,"The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantel to his unwilling son, Michael."
9,The Power of the Dog,126,"[DRAMA, WESTERN, ROMANCE]",English,7.00,2021-01-01,"Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love."
10,Pulp Fiction,154,"[DRAMA, CRIME]",English,8.90,1994-01-01,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
11,Fight Club,139,[DRAMA],English,8.80,1999-01-01,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
12,First Cow,122,"[DRAMA, WESTERN]",English,7.40,2019-01-01,"A skilled cook has traveled west and joined a group of fur trappers in Oregon, though he only finds true connection with a Chinese immigrant also seeking his fortune. Soon the two collaborate on a successful business."
13,Drive my car,179,[DRAMA],Japanese,8.00,2021-01-01,Nishijima Hidetoshi is a stage actor and director happily married to his playwright wife. Then one day she disappears.
14,The Matrix,136,"[SCI_FI, ACTION]",English,8.70,1999-01-01,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
15,Parasite,132,"[DRAMA, COMEDY, THRILLER]",Korean,8.60,2019-01-01,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
16,The Worst Person in the World,127,"[DRAMA, COMEDY, ROMANCE]",Norwegian,8.10,2021-01-01,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
17,Love Actually,135,"[DRAMA, COMEDY, ROMANCE]",English,7.60,2003-01-01,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, UK."
18,Don't Look Up,138,"[DRAMA, COMEDY, SCI_FI]",English,7.40,2021-01-01,Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.
19,Home Alone,103,"[FAMILY, COMEDY]",English,7.60,1990-01-01,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
20,The Lord of the Rings: The Fellowship of the Ring,178,"[DRAMA, ADVENTURE, ACTION]",English,8.80,2001-01-01,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
21,Spider-Man: No Way Home,148,"[ADVENTURE, FANTASY, ACTION]",English,9.10,2021-01-01,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
22,Inception,148,"[ADVENTURE, SCI_FI, ACTION]",English,8.80,2010-01-01,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
23,The Irishman,209,"[DRAMA, BIOGRAPHY, CRIME]",English,7.80,2019-01-01,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.
24,Licorice Pizza,133,"[DRAMA, COMEDY, ROMANCE]",English,8.40,2021-01-01,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973."
25,Portrait of a Lady on Fire.,122,"[DRAMA, ROMANCE]",French,8.10,2019-01-01,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
